player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
596,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,70,1,0,3,0.83,0.0,1,0,0,7,21,9,0.0,1.0,0,0,0.0,1,0.0,0,1,1,0,0,0,0,2,5,1,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.92,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,25-26-champions-league-manchester-city-vs-bodø/glimt,90,0,0,0,0.0,0.11,0,6,0,3,111,74,0.0,2.0,2,1,0.0,1,0.0,0,0,6,0,1,1,2,13,10,13,0.0,0,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,5,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,25-26-champions-league-manchester-city-vs-bodø/glimt,90,0,0,0,0.0,0.05,0,0,0,1,110,94,0.0,1.0,7,1,0.0,1,0.0,0,3,7,0,3,2,0,2,3,2,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,25-26-champions-league-manchester-city-vs-bodø/glimt,90,0,0,3,0.38,0.15,0,0,2,4,14,7,0.0,1.0,0,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,25-26-champions-league-manchester-city-vs-bodø/glimt,90,0,0,3,0.16,0.03,1,1,0,7,59,40,0.0,0.0,3,0,0.0,0,0.0,0,0,2,0,1,0,1,2,4,1,0.0,1,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.04,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,25-26-champions-league-manchester-city-vs-bodø/glimt,70,0,0,4,0.14,0.24,1,4,0,3,47,24,0.0,1.0,2,2,0.0,1,0.0,0,0,0,0,0,0,0,4,6,4,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.06,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,25-26-champions-league-manchester-city-vs-bodø/glimt,20,0,0,0,0.0,0.0,0,0,0,1,12,4,0.0,0.0,2,0,0.0,0,0.0,0,1,1,0,0,0,0,1,2,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,25-26-champions-league-manchester-city-vs-bodø/glimt,90,0,0,0,0.0,0.0,0,0,0,0,27,23,0.0,0.0,0,0,0.0,2,0.0,0,0,4,0,0,0,0,0,0,0,0.0,0,0.0,0,0,2,3,2.51,-0.49,0,23,2,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,25-26-champions-league-manchester-city-vs-bodø/glimt,62,0,0,1,0.06,0.09,0,0,0,1,76,58,0.0,0.0,13,1,0.0,7,0.0,0,2,1,1,0,0,2,2,6,1,0.0,1,0.0,0,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,0,2,1,0.05,1.06,1,4,0,6,54,28,0.0,4.0,2,0,0.0,0,0.0,0,1,7,0,0,0,0,7,5,7,0.0,0,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.08,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,0,0,5,0.34,0.34,1,1,0,7,69,37,0.0,1.0,9,0,0.0,4,0.0,0,0,7,0,0,0,1,6,5,6,0.0,0,0.0,2,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.39,3,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
570,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,0,0,0,0.0,0.02,0,0,0,1,73,48,0.0,1.0,8,1,0.0,3,0.0,0,0,5,1,5,3,1,4,4,1,0.0,3,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,90,0,0,1,0.02,0.26,0,3,0,7,60,26,0.0,2.0,2,0,0.0,0,0.0,0,0,3,0,0,0,1,7,7,7,0.0,0,0.0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,3,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,62,0,0,1,0.01,0.02,0,0,0,1,40,25,0.0,1.0,5,0,0.0,0,0.0,0,2,5,0,1,0,0,4,4,3,0.0,1,0.0,2,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,25-26-champions-league-borussia-dortmund-vs-tottenham-hotspur,20,0,0,1,0.48,0.03,1,0,1,3,7,1,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,2,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.47,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
