id,status,chance_of_playing_next_round,chance_of_playing_this_round,now_cost,now_cost_rank,now_cost_rank_type,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,selected_by_percent,selected_rank,selected_rank_type,total_points,event_points,points_per_game,points_per_game_rank,points_per_game_rank_type,bonus,bps,form,form_rank,form_rank_type,value_form,value_season,dreamteam_count,transfers_in,transfers_in_event,transfers_out,transfers_out_event,ep_next,ep_this,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,influence,influence_rank,influence_rank_type,creativity,creativity_rank,creativity_rank_type,threat,threat_rank,threat_rank_type,ict_index,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,gw,set_piece_threat,first_name,second_name,web_name,news,news_added,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,starts,defensive_contribution,corners_and_indirect_freekicks_text,direct_freekicks_text,penalties_text,saves_per_90,clean_sheets_per_90,goals_conceded_per_90,starts_per_90,defensive_contribution_per_90,tackles,clearances_blocks_interceptions,recoveries
367,a,,,4.2,624,36.0,0,0.0,-3,3.0,0.6,239,32.0,19,0,3.8,82.0,6.0,0,70,0.0,537.0,80.0,0.0,4.5,0.0,149489,50,158313,195,0.5,0.5,0.0,0.0,0.0,7.1,0.0,0.0,0.0,1.42,140.0,264.0,22.0,0.0,600.0,75.0,0.0,568.0,61.0,13.9,366.0,22.0,,,,22,,Giorgi,Mamardashvili,Mamardashvili,,,450,0,0,1,10,0,1,0,0,0,17,5,45,,,,3.4,0.2,2.0,1.0,0.0,0,7,43
368,a,,,3.8,796,91.0,0,0.0,-2,2.0,0.4,283,38.0,0,0,0.0,509.0,32.0,0,0,0.0,425.0,27.0,0.0,0.0,0.0,55856,934,29402,98,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.0,32.0,0.0,491.0,18.0,0.0,452.0,3.0,0.0,502.0,32.0,,,,22,,Ármin,Pécsi,Pécsi,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
371,a,,,5.6,133,15.0,0,0.0,-4,4.0,3.0,106,43.0,53,1,2.5,256.0,98.0,4,243,2.7,151.0,57.0,0.5,9.5,0.0,295867,567,753568,599,3.2,3.2,0.94,0.58,1.52,18.66,0.06,0.04,0.1,1.13,305.8,124.0,53.0,319.2,50.0,7.0,106.0,190.0,46.0,73.2,91.0,24.0,,,,22,,Milos,Kerkez,Kerkez,,,1490,1,0,4,22,0,0,0,4,0,0,18,129,,,,0.0,0.24,1.33,1.09,6.22,34,69,57
372,a,,,5.8,104,7.0,0,0.0,-2,2.0,1.0,184,71.0,24,1,1.8,350.0,133.0,2,114,1.3,253.0,94.0,0.2,4.1,0.0,50738,83,124984,140,1.8,1.8,0.21,0.72,0.92,5.76,0.04,0.13,0.17,1.05,109.8,304.0,115.0,167.6,140.0,35.0,49.0,290.0,91.0,32.7,270.0,91.0,,,,22,,Andrew,Robertson,Robertson,,,493,0,0,2,7,0,0,0,0,0,0,4,39,,,,0.0,0.37,1.28,0.73,5.29,9,20,20
373,a,,,5.9,91,6.0,0,0.0,-1,1.0,22.7,16,5.0,81,2,3.7,102.0,37.0,4,322,3.2,109.0,39.0,0.5,13.7,0.0,2612767,2819,3023011,7256,3.7,3.7,0.92,0.65,1.57,24.2,0.04,0.03,0.07,1.1,592.6,9.0,4.0,131.8,170.0,43.0,144.0,136.0,24.0,86.7,59.0,9.0,,,,22,,Virgil,van Dijk,Virgil,,,1980,0,0,7,29,0,0,0,3,0,0,22,229,,,,0.0,0.32,1.32,1.0,9.27,15,189,47
374,a,100.0,100.0,5.4,164,19.0,0,0.0,-1,1.0,3.5,96,37.0,81,2,3.7,100.0,36.0,6,315,3.3,93.0,33.0,0.6,15.0,0.0,546725,1144,540997,1817,3.8,3.8,0.81,0.81,1.62,21.63,0.04,0.04,0.08,1.04,478.2,32.0,13.0,107.5,200.0,50.0,73.0,247.0,69.0,66.1,113.0,37.0,,,,22,,Ibrahima,Konaté,Konaté,,,1876,0,0,7,26,0,0,0,5,0,0,22,212,,,,0.0,0.34,1.25,1.06,8.97,31,156,61
375,i,0.0,0.0,5.0,267,44.0,0,0.0,0,0.0,0.2,369,135.0,42,0,2.8,217.0,87.0,2,157,3.7,72.0,24.0,0.7,8.4,0.0,62433,7,65210,581,0.0,0.0,0.18,0.84,1.02,10.77,0.02,0.08,0.1,1.04,157.4,251.0,102.0,105.2,203.0,51.0,62.0,270.0,78.0,32.3,271.0,92.0,,,,22,,Conor,Bradley,Bradley,Knee injury - Expected back 01 Jun,,928,0,2,4,13,0,0,0,5,0,0,12,82,,,,0.0,0.39,1.26,1.16,6.3,19,46,43
376,a,100.0,100.0,4.9,292,48.0,0,0.0,-1,1.0,0.1,407,151.0,25,0,2.5,251.0,97.0,2,73,0.3,360.0,132.0,0.1,5.1,0.0,21260,49,26465,46,0.8,0.8,0.18,0.53,0.71,3.14,0.07,0.19,0.26,1.15,70.2,352.0,135.0,56.3,297.0,98.0,20.0,352.0,120.0,14.6,362.0,130.0,,,,22,,Joe,Gomez,Gomez,,,246,0,2,2,5,0,0,0,2,0,0,3,20,,,,0.0,0.73,1.83,1.1,6.95,1,18,8
377,u,0.0,0.0,4.8,353,60.0,0,0.0,-2,2.0,0.0,577,210.0,0,0,0.0,737.0,256.0,0,0,0.0,691.0,249.0,0.0,0.0,0.0,1669,0,12165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.0,256.0,0.0,732.0,256.0,0.0,720.0,255.0,0.0,737.0,256.0,,,,22,,Konstantinos,Tsimikas,Tsimikas,has joined AS Roma on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
379,a,,,3.8,771,236.0,0,0.0,-2,2.0,0.2,355,130.0,0,0,0.0,494.0,174.0,0,0,0.0,409.0,150.0,0.0,0.0,0.0,24359,22,26908,41,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,174.0,0.0,474.0,173.0,0.0,434.0,162.0,0.0,487.0,174.0,,,,22,,Rhys,Williams,R.Williams,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
394,u,0.0,0.0,4.4,535,319.0,0,0.0,-1,1.0,0.0,665,274.0,0,0,0.0,649.0,249.0,0,0,0.0,588.0,206.0,0.0,0.0,0.0,1737,0,4041,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,241.0,0.0,638.0,246.0,0.0,612.0,234.0,0.0,643.0,243.0,,,,22,,James,McConnell,McConnell,has joined Ajax on loan for the rest of the season.,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0,0,0
